,time,avg,replicas,for pod
0,1673453986704.6316,49.64558,1,[49.64558]
1,1673454001852.3088,66.01304,2,"[49.64558, 16.36746]"
2,1673454017015.991,73.780047,2,"[50.394285, 23.385762]"
3,1673454032177.459,107.43340300000001,3,"[44.863033, 49.873557, 12.696813]"
4,1673454047336.7117,108.198685,3,"[41.744893, 49.947973, 16.505819]"
5,1673454062497.8037,113.42669400000001,3,"[41.744893, 43.376029, 28.305772]"
6,1673454077657.8464,37.74417,1,[37.74417]
7,1673454092816.4724,48.529576,1,[48.529576]
8,1673454107973.8127,48.529576,1,[48.529576]
9,1673454123158.24,64.792965,2,"[49.316286, 15.476679]"
10,1673454138309.3186,64.67711800000001,2,"[49.870429, 14.806689]"
11,1673454153465.0117,120.440872,3,"[50.080957, 47.799479, 22.560436]"
12,1673454168626.7563,79.916076,3,"[49.916204, 14.97006, 15.029812]"
13,1673454183774.1838,16.157848,1,[16.157848]
14,1673454198919.4287,50.106859,1,[50.106859]
