,time,avg,replicas,for pod
0,1672824810673.4434,130.14181200000002,3,"[33.384289, 48.241025, 48.516498]"
1,1672824825979.5977,126.820757,3,"[38.92944, 44.697912, 43.193405]"
2,1672824841194.8123,47.171004,1,[47.171004]
3,1672824856413.5642,50.039807,1,[50.039807]
4,1672824871667.4482,118.279585,4,"[20.914632, 25.608642, 21.928899, 49.827412]"
5,1672824886882.425,49.913342,1,[49.913342]
6,1672824902110.8713,45.546479,1,[45.546479]
7,1672824917309.9275,49.289234,1,[49.289234]
8,1672824932519.168,115.601388,4,"[22.292954, 26.02758, 50.24405, 17.036804]"
9,1672824947726.9321,152.779503,5,"[41.008158, 21.834133, 20.571185, 49.963287, 19.40274]"
10,1672824962928.0115,247.36571100000003,8,"[17.674005, 49.337682, 47.082298, 17.826183, 48.051183, 14.800148, 35.885779, 16.708433]"
11,1672824978126.7852,256.346473,11,"[18.806443, 34.205559, 13.153166, 34.308384, 15.18183, 28.884061, 44.58972, 9.481596, 21.552125, 26.42181, 9.761779]"
12,1672824993413.9895,147.065318,8,"[10.830565, 30.946344, 12.884119, 10.864183, 29.279907, 13.013511, 13.179961, 26.066728]"
13,1672825008594.5781,35.675815,1,[35.675815]
14,1672825023795.7432,35.675815,1,[35.675815]
