,time,master,worker
0,1672334016693.3572,6225.964,11294.52
1,1672334001658.4556,6229.012,11398.348
2,1672333986628.9023,6228.656,11294.612
3,1672333971593.714,6225.652,11433.68
4,1672333956558.902,6231.62,11296.804
5,1672333941524.3108,6227.4,11401.656
6,1672333926489.879,6226.96,11293.32
7,1672333911461.8093,6226.832,11388.516
8,1672333896426.1306,6225.22,11250.928
9,1672333881390.9683,6219.948,11385.172
10,1672333866359.745,6251.824,11262.432
11,1672333851325.5037,6249.24,11385.112
12,1672333836295.0613,6248.444,11407.736
13,1672333821264.5156,6247.616,11503.364
14,1672333806229.819,6241.656,11333.064
15,1672333791206.601,6214.148,11463.572
