,time,avg,replicas,for pod
0,1673512699361.8557,69.78800000000001,2,"[29.896, 39.892]"
1,1673512714497.2075,69.156,2,"[29.264, 39.892]"
2,1673512729649.522,70.396,2,"[30.272, 40.124]"
3,1673512744802.0457,69.232,2,"[29.204, 40.028]"
4,1673512759953.6917,70.2,2,"[29.308, 40.892]"
5,1673512775107.1973,70.62,2,"[29.728, 40.892]"
6,1673512790262.3647,68.884,2,"[29.04, 39.844]"
7,1673512805414.013,69.488,2,"[29.912, 39.576]"
8,1673512820565.5127,69.404,2,"[29.584, 39.82]"
9,1673512835718.3953,69.168,2,"[29.512, 39.656]"
10,1673512850867.7776,69.616,2,"[29.512, 40.104]"
11,1673512866017.4983,69.244,2,"[29.52, 39.724]"
12,1673512881154.5469,69.184,2,"[29.296, 39.888]"
13,1673512896342.172,68.93599999999999,2,"[29.548, 39.388]"
14,1673512911493.67,69.092,2,"[29.52, 39.572]"
