,time,observed
0,1672481539695.798,5
1,1672481554924.765,10
2,1672481570220.02,10
3,1672481585528.5142,17
4,1672481600750.824,1
5,1672481615975.7698,3
6,1672481631257.1794,7
7,1672481646469.207,10
8,1672481661697.2578,1
9,1672481676917.0664,4
10,1672481692214.4924,8
11,1672481707422.657,1
12,1672481722653.2546,5
13,1672481737905.7346,10
14,1672481753134.2175,10
