,time,master,worker
0,1672238216309.4763,6097.756,11572.7
1,1672238201273.7188,6308.612,11491.592
2,1672238186238.6538,6244.328,10948.192
3,1672238171202.3154,6191.2,11407.612
4,1672238156166.528,6188.072,11531.692
5,1672238141131.1638,6157.996,11399.932
6,1672238126094.4163,6094.764,11483.432
7,1672238111059.7844,6155.224,11340.864
8,1672238096025.5747,6154.98,11500.952
9,1672238080994.5781,6152.824,11367.928
10,1672238065959.8916,6092.664,11486.136
11,1672238050933.272,6183.088,11453.776
12,1672238035898.5088,6142.692,11542.436
13,1672238020873.309,6087.116,11428.652
14,1672238005836.8945,6046.776,11574.116
15,1672237990800.3281,6117.484,11434.572
