,time,master,worker
0,1672678901322.117,6211.58,11082.428
1,1672678886288.247,6210.072,11290.784
2,1672678871261.4216,6210.508,11080.884
3,1672678856240.6987,6208.464,11270.044
4,1672678841206.3965,6210.776,11105.776
5,1672678826182.5173,6211.772,11314.236
6,1672678811147.5186,6212.696,11088.16
7,1672678796126.8926,6215.708,11251.468
8,1672678781092.2563,6217.896,11085.28
9,1672678766057.0642,6218.896,11265.336
10,1672678751025.484,6216.944,11099.92
11,1672678735992.0212,6215.988,11296.06
12,1672678720958.9307,6220.58,11086.544
13,1672678705925.4006,6207.864,11258.268
14,1672678690886.994,6276.336,11316.008
15,1672678675852.677,6206.788,11240.204
