,time,master,worker
0,1672494469823.413,6077.028,11440.744
1,1672494454789.115,6080.648,11368.036
2,1672494439755.5356,6082.852,11461.248
3,1672494424720.1538,6080.084,11389.432
4,1672494409685.3125,6082.192,11474.052
5,1672494394660.3777,6078.504,11379.752
6,1672494379626.4053,6079.02,11462.36
7,1672494364591.2673,6079.44,11005.94
8,1672494349570.6409,6080.02,11454.824
9,1672494334531.9546,6078.54,11138.276
10,1672494319498.6228,6079.4,11441.62
11,1672494304464.571,6076.964,11050.416
12,1672494289430.7234,6077.924,11454.22
13,1672494274404.727,6075.208,11090.596
14,1672494259384.9497,6077.408,11442.908
15,1672494244352.3408,6077.004,11101.536
