,time,master,worker
0,1671717012450.844,172.001902,5476.941901
1,1671716997429.0237,181.260084,6118.3839
2,1671716982404.4631,145.176992,5625.684041
3,1671716967368.66,199.17431,6104.573868
4,1671716952347.5122,175.173042,5307.805007
5,1671716937312.4624,172.708657,5814.373815
6,1671716922277.4612,154.332863,5471.834001
7,1671716907241.504,160.836237,5915.907099
8,1671716892205.8474,172.330287,5489.437654
9,1671716877177.5308,170.148879,5667.616985
10,1671716862152.665,173.274434,5598.355814
11,1671716847117.8618,256.110845,5488.408229
12,1671716832083.6753,150.212933,5651.957754
13,1671716817060.7852,279.176007,5607.901976
14,1671716802035.416,322.50397,5636.866107
15,1671716787001.7346,200.309799,5842.259042
