,time,observed
0,1671801317892.5278,6
1,1671801333052.764,6
2,1671801348210.1843,2
3,1671801363430.294,2
4,1671801378590.3027,3
5,1671801393749.8647,3
6,1671801408919.4482,3
7,1671801424105.0823,3
8,1671801439262.4912,4
9,1671801454418.5813,4
10,1671801469580.7979,1
11,1671801484729.0254,2
12,1671801499887.9556,2
13,1671801515045.5537,2
14,1671801530213.2458,2
