,time,observed
0,1672485818708.5593,3
1,1672485833913.8047,5
2,1672485849114.46,5
3,1672485864319.4707,1
4,1672485879520.3518,1
5,1672485894757.2268,2
6,1672485909956.4106,2
7,1672485925156.8154,3
8,1672485940344.7803,3
9,1672485955541.6765,3
10,1672485970739.4924,3
11,1672485985937.0393,5
12,1672486001134.7314,5
13,1672486016367.315,1
14,1672486031572.6692,1
