,time,master,worker
0,1672733234865.4019,6250.572,11515.524
1,1672733219841.7356,6162.72,11311.788
2,1672733204821.3623,6157.656,11473.188
3,1672733189790.095,6157.416,11375.716
4,1672733174758.9395,6398.768,11763.592
5,1672733159723.229,6271.2,11600.892
6,1672733144688.0405,6251.024,11558.796
7,1672733129667.2793,6203.212,11244.712
8,1672733114631.3699,6146.432,11552.252
9,1672733099597.241,6141.624,11272.312
10,1672733084562.5923,6340.704,11210.988
11,1672733069529.8008,6286.232,11456.536
12,1672733054495.3547,6180.304,11103.456
13,1672733039472.1094,6135.668,11382.62
14,1672733024437.3523,6110.164,11483.732
15,1672733009404.4263,6067.56,11376.852
