,time,avg,replicas,for pod
0,1672822169002.457,29.4,1,[29.4]
1,1672822184178.682,31.656,1,[31.656]
2,1672822199354.4463,32.912,1,[32.912]
3,1672822214534.935,55.336,2,"[24.7, 30.636]"
4,1672822229711.7822,66.988,2,"[36.728, 30.26]"
5,1672822244882.7314,67.62,2,"[37.456, 30.164]"
6,1672822260054.735,97.724,3,"[37.548, 30.492, 29.684]"
7,1672822275222.3472,103.828,3,"[37.388, 30.248, 36.192]"
8,1672822290408.479,104.99199999999999,3,"[36.48, 30.228, 38.284]"
9,1672822305590.3032,161.3,5,"[36.932, 30.228, 36.936, 28.584, 28.62]"
10,1672822320774.5327,161.612,5,"[36.56, 30.58, 37.444, 28.968, 28.06]"
11,1672822335952.5518,219.29599999999996,7,"[36.912, 30.192, 37.484, 29.04, 30.212, 27.164, 28.292]"
12,1672822351129.0364,174.568,5,"[36.912, 29.952, 37.484, 35.204, 35.016]"
13,1672822366381.9836,31.508,1,[31.508]
14,1672822381556.94,33.036,1,[33.036]
