,time,master,worker
0,1671760958788.4219,147.227831,5759.347888
1,1671760943753.893,166.297679,5342.387183
2,1671760928719.551,442.875381,5896.233875
3,1671760913698.188,153.231551,5110.148103
4,1671760898662.616,181.79459,5773.913466
5,1671760883629.6587,481.409982,5492.964149
6,1671760868595.7864,307.482796,5989.302591
7,1671760853563.1453,381.928799,5629.675557
8,1671760838528.4275,434.061276,6009.067689
9,1671760823494.0103,351.697406,5444.922203
10,1671760808458.2073,898.183334,6085.724384
11,1671760793423.4258,456.245441,6415.376389
12,1671760778371.414,414.64369,5879.375722
13,1671760763342.2397,158.864434,5706.988504
14,1671760748306.4194,375.674797,5538.347977
15,1671760733270.8943,169.31769,5761.662429
