,time,avg,replicas,for pod
0,1672610714116.2954,30.044,1,[30.044]
1,1672610729275.746,32.712,1,[32.712]
2,1672610744456.1052,32.784,1,[32.784]
3,1672610759618.4712,32.624,1,[32.624]
4,1672610774789.3477,33.092,1,[33.092]
5,1672610789947.3823,31.872,1,[31.872]
6,1672610805119.6624,32.876,1,[32.876]
7,1672610820304.4646,0.0,0,[]
8,1672610835473.5505,32.056,1,[32.056]
9,1672610850647.3562,31.844,1,[31.844]
10,1672610865815.3254,31.04,1,[31.04]
11,1672610880987.0168,31.976,1,[31.976]
12,1672610896144.0112,32.42,1,[32.42]
13,1672610911315.3977,31.132,1,[31.132]
14,1672610926478.743,31.06,1,[31.06]
