,time,avg,replicas,for pod
0,1672389974837.3396,31.056,1,[31.056]
1,1672389990028.352,65.5,3,"[28.02, 7.592, 29.888]"
2,1672390005240.548,205.66400000000002,7,"[34.592, 27.616, 34.472, 27.552, 29.448, 24.472, 27.512]"
3,1672390020526.9824,188.02800000000002,6,"[35.412, 28.072, 36.096, 34.432, 29.544, 24.472]"
4,1672390035702.1694,30.676,1,[30.676]
5,1672390050869.5007,31.136,1,[31.136]
6,1672390066055.3875,87.816,3,"[29.812, 30.724, 27.28]"
7,1672390081241.1357,171.38400000000001,6,"[25.748, 28.784, 27.848, 27.28, 28.312, 33.412]"
8,1672390096414.7112,38.028,1,[38.028]
9,1672390111591.676,37.496,1,[37.496]
10,1672390126775.719,121.152,4,"[27.632, 37.564, 28.208, 27.748]"
11,1672390142020.0742,70.508,2,"[37.184, 33.324]"
12,1672390157192.3542,38.592,1,[38.592]
13,1672390172371.8745,37.952,1,[37.952]
14,1672390187566.6824,122.696,4,"[28.008, 28.248, 27.928, 38.512]"
