,time,master,worker
0,1672252862389.5723,156.699324,6036.742603
1,1672252847362.25,171.280538,5477.353334
2,1672252832329.4788,205.26335,6551.980068
3,1672252817305.4119,254.664417,5338.231831
4,1672252802274.8179,386.825633,6613.000111
5,1672252787254.8875,222.641912,5082.931793
6,1672252772220.1558,229.96821,6090.861981
7,1672252757184.299,195.536891,5046.671509
8,1672252742154.2664,177.66072,6138.134466
9,1672252727133.5654,190.749011,4920.242407
10,1672252712099.7305,171.013961,6251.113047
11,1672252697063.423,192.846015,5013.190619
12,1672252682034.1418,206.172369,6213.315545
13,1672252667001.8252,157.416928,5133.614243
14,1672252651966.3489,440.653465,5974.362283
15,1672252636943.3672,172.207475,5158.006365
