,time,avg,replicas,for pod
0,1672822409137.9626,67.148,2,"[31.148, 36.0]"
1,1672822424307.744,67.684,2,"[30.168, 37.516]"
2,1672822439485.6304,130.528,4,"[34.32, 30.2, 37.672, 28.336]"
3,1672822454672.192,133.284,4,"[35.632, 31.06, 37.672, 28.92]"
4,1672822470077.2783,102.956,3,"[36.756, 37.644, 28.556]"
5,1672822485267.2373,37.76,1,[37.76]
6,1672822500444.369,37.936,1,[37.936]
7,1672822515609.5334,97.584,3,"[28.388, 30.024, 39.172]"
8,1672822530785.8086,103.47999999999999,3,"[29.232, 36.628, 37.62]"
9,1672822545979.145,103.25200000000001,3,"[28.752, 36.88, 37.62]"
10,1672822561214.9626,37.324,1,[37.324]
11,1672822576402.1646,0.0,0,[]
12,1672822591570.6545,32.176,1,[32.176]
13,1672822606741.5054,29.864,1,[29.864]
14,1672822621924.3435,93.44,3,"[30.16, 31.636, 31.644]"
