,time,master,worker
0,1671999373131.8464,271.569611,5656.651308
1,1671999358097.345,394.125539,6131.239197
2,1671999343061.6301,431.09875,5749.550492
3,1671999328030.1348,611.914938,6090.509202
4,1671999312995.1636,483.28965,5565.574786
5,1671999297959.4646,402.695968,6941.33812
6,1671999282930.0718,543.76672,5447.391579
7,1671999267907.6309,496.798494,5625.660787
8,1671999252871.513,462.454643,6058.683853
9,1671999237834.4429,350.706593,5165.072224
10,1671999222797.548,771.216857,5943.303974
11,1671999207766.773,429.285405,5827.079547
12,1671999192731.4768,297.912118,6310.723289
13,1671999177694.896,319.190364,5549.354736
14,1671999162658.856,145.964869,5606.797954
15,1671999147622.8555,161.838826,5851.507765
