,time,avg,replicas,for pod
0,1671846705255.0642,8.204142,1,[8.204142]
1,1671846720425.6821,48.228808,1,[48.228808]
2,1671846735609.1733,50.454399,1,[50.454399]
3,1671846750802.8875,135.975279,3,"[42.21646, 44.654965, 49.103854]"
4,1671846765987.8323,123.215756,3,"[25.967579, 48.144323, 49.103854]"
5,1671846781191.7004,110.24784799999999,3,"[26.646306, 47.966252, 35.63529]"
6,1671846796377.4402,119.730699,4,"[16.456131, 21.036438, 49.313749, 32.924381]"
7,1671846811679.3352,149.766592,4,"[48.950787, 18.035309, 43.904822, 38.875674]"
8,1671846826865.2834,48.42304,1,[48.42304]
9,1671846842046.8132,49.89325,1,[49.89325]
10,1671846857228.0894,42.888808,1,[42.888808]
11,1671846872395.5388,97.814092,3,"[41.704694, 46.532926, 9.576472]"
12,1671846887571.122,4.977229,1,[4.977229]
13,1671846902747.1794,2.92832,1,[2.92832]
14,1671846917925.2566,7.863971,1,[7.863971]
