,time,avg,replicas,for pod
0,1672177005303.393,151.240588,4,"[30.713046, 23.468788, 48.805995, 48.252759]"
1,1672177020490.6953,95.13641799999999,3,"[16.331944, 30.62241, 48.182064]"
2,1672177035669.1804,49.090745,1,[49.090745]
3,1672177050848.5974,49.869398,1,[49.869398]
4,1672177066041.7778,50.186216,1,[50.186216]
5,1672177081218.2683,79.383403,2,"[30.220569, 49.162834]"
6,1672177096412.9438,64.273069,2,"[15.721585, 48.551484]"
7,1672177111585.859,72.582083,2,"[22.314642, 50.267441]"
8,1672177126782.7383,65.235396,2,"[15.567751, 49.667645]"
9,1672177141949.7498,73.646491,2,"[23.698555, 49.947936]"
10,1672177157151.6514,121.80813,3,"[23.60932, 48.343451, 49.855359]"
11,1672177172322.1504,23.581308,1,[23.581308]
12,1672177187490.6296,50.868845,1,[50.868845]
13,1672177202672.0435,49.737929,1,[49.737929]
14,1672177217849.7214,49.720231,1,[49.720231]
