,time,master,worker
0,1672421413279.3997,6255.412,10737.2
1,1672421398251.8088,6251.42,11420.176
2,1672421383217.0566,6257.148,10691.332
3,1672421368193.6013,6256.8,11387.82
4,1672421353161.157,6252.608,10660.272
5,1672421338127.046,6225.836,11355.34
6,1672421323093.5742,6222.388,10667.388
7,1672421308059.3262,6285.116,11429.696
8,1672421293025.5674,6283.772,10787.4
9,1672421277992.6562,6283.604,11418.84
10,1672421262970.9468,6283.452,10697.484
11,1672421247945.0823,6256.752,11430.244
12,1672421232910.9368,6255.24,10784.928
13,1672421217876.6077,6252.252,11311.42
14,1672421202843.6692,6252.196,10820.648
15,1672421187815.3218,6252.328,10825.408
