,time,master,worker
0,1672526646528.9883,6094.612,11304.296
1,1672526631508.0151,6093.34,11244.716
2,1672526616480.1982,6091.644,11338.336
3,1672526601454.8838,6090.5,11239.052
4,1672526586420.001,6092.056,11294.08
5,1672526571385.7075,6037.468,10937.196
6,1672526556349.5745,6036.944,11281.42
7,1672526541314.9377,6062.176,11077.904
8,1672526526280.77,6060.464,11397.584
9,1672526511251.8171,6056.092,11000.076
10,1672526496224.1167,6031.516,11341.516
11,1672526481203.4402,6038.352,10883.788
12,1672526466180.062,6025.596,11264.228
13,1672526451160.346,6028.772,10817.856
14,1672526436134.5464,6093.632,11390.136
15,1672526421098.1643,6091.688,10913.448
