,time,observed
0,1672644094426.334,1
1,1672644109596.9565,1
2,1672644124772.732,2
3,1672644139949.2996,2
4,1672644155133.0364,2
5,1672644170296.0188,1
6,1672644185465.0703,1
7,1672644200641.0999,70
8,1672644215822.3853,2
9,1672644230988.5608,2
10,1672644246159.7422,2
11,1672644261332.7305,2
12,1672644276506.3372,2
13,1672644291671.7178,2
14,1672644306829.0251,2
