,time,master,worker
0,1672272791028.3752,6132.804,11561.724
1,1672272775995.0361,6132.56,11036.052
2,1672272760966.2988,6132.536,11548.804
3,1672272745932.7012,6125.428,11032.212
4,1672272730899.705,6112.04,11487.596
5,1672272715864.962,6157.1,11027.588
6,1672272700843.963,6143.856,11537.216
7,1672272685815.5264,6125.048,11816.316
8,1672272670781.9702,6126.464,11496.472
9,1672272655751.256,6126.964,11714.68
10,1672272640716.139,6123.632,11571.252
11,1672272625677.0198,6121.02,11692.204
12,1672272610651.1682,6110.52,11568.56
13,1672272595617.7217,6245.04,11828.172
14,1672272580583.4084,6129.82,11677.856
15,1672272565547.0632,6169.904,11724.264
