,time,master,worker
0,1672327053942.8064,6283.1,11102.276
1,1672327038908.8394,6255.14,11299.28
2,1672327023883.9465,6220.132,11130.736
3,1672327008848.817,6310.8,11442.376
4,1672326993819.5916,6249.148,11245.364
5,1672326978784.3801,6245.672,11420.08
6,1672326963750.3289,6215.972,11245.3
7,1672326948726.141,6217.42,11128.0
8,1672326933692.6335,6273.392,11175.956
9,1672326918665.2136,6287.156,11509.524
10,1672326903630.29,6221.36,11204.404
11,1672326888595.2551,6223.46,11489.316
12,1672326873560.616,6248.264,11312.748
13,1672326858525.6729,6250.216,10708.276
14,1672326843490.806,6159.74,11161.144
15,1672326828463.604,6145.716,11401.084
