,time,avg,replicas,for pod
0,1672266563121.1724,67.276,2,"[38.452, 28.824]"
1,1672266578293.979,66.668,2,"[37.932, 28.736]"
2,1672266593463.9026,67.772,2,"[38.356, 29.416]"
3,1672266608633.9526,67.06,2,"[38.124, 28.936]"
4,1672266623802.2222,97.5,3,"[37.868, 30.004, 29.628]"
5,1672266638963.174,102.88799999999999,3,"[37.7, 35.132, 30.056]"
6,1672266654138.388,101.572,3,"[36.764, 35.648, 29.16]"
7,1672266669307.5095,134.536,4,"[29.252, 37.56, 36.536, 31.188]"
8,1672266684479.2966,37.508,1,[37.508]
9,1672266699649.2012,37.508,1,[37.508]
10,1672266714818.1,38.016,1,[38.016]
11,1672266729998.8032,66.176,2,"[27.62, 38.556]"
12,1672266745196.2617,67.644,2,"[29.052, 38.592]"
13,1672266760367.6538,67.744,2,"[28.824, 38.92]"
14,1672266775538.3909,96.6,3,"[29.856, 28.628, 38.116]"
