,time,avg,replicas,for pod
0,1671702137935.3274,69.66,2,"[31.048, 38.612]"
1,1671702153147.0898,68.804,2,"[31.024, 37.78]"
2,1671702168324.5288,68.75999999999999,2,"[30.808, 37.952]"
3,1671702183514.9907,180.78,6,"[29.54, 37.6, 30.272, 28.152, 27.912, 27.304]"
4,1671702198688.977,250.476,8,"[31.332, 36.668, 35.788, 28.172, 28.876, 33.624, 28.112, 27.904]"
5,1671702213940.521,134.84,4,"[37.092, 36.188, 33.744, 27.816]"
6,1671702229110.5464,37.952,1,[37.952]
7,1671702244315.304,37.696,1,[37.696]
8,1671702259500.0234,96.624,3,"[37.536, 30.496, 28.592]"
9,1671702274732.5054,157.66,5,"[38.276, 34.616, 28.936, 28.04, 27.792]"
10,1671702289935.5332,37.46,1,[37.46]
11,1671702305121.872,36.692,1,[36.692]
12,1671702320309.2202,37.196,1,[37.196]
13,1671702335479.3281,23.176,1,[23.176]
14,1671702350651.3706,25.32,1,[25.32]
