,time,master,worker
0,1672404606258.0469,286.890088,5913.631365
1,1672404591225.4763,230.506009,5534.655657
2,1672404576204.713,130.740963,5968.802787
3,1672404561169.627,172.315554,5671.057
4,1672404546137.212,155.601538,6113.07564
5,1672404531112.331,196.873374,5567.483412
6,1672404516077.776,130.384575,6038.377157
7,1672404501043.5696,168.543542,5632.238811
8,1672404486008.0425,170.166888,6193.711266
9,1672404470982.4685,180.569123,5647.559574
10,1672404455951.1626,194.123169,5996.166788
11,1672404440929.067,228.006562,6286.087946
12,1672404425901.63,307.331253,5415.405672
13,1672404410871.2776,188.176082,6492.414431
14,1672404395836.3105,409.698673,5266.202001
15,1672404380801.617,196.441617,6703.925801
