,time,master,worker
0,1673515566144.4084,6022.916,11028.12
1,1673515551115.5945,6024.352,11351.932
2,1673515536084.8286,6021.8,11054.34
3,1673515521051.0232,6022.924,11337.916
4,1673515506031.2097,6021.412,10881.068
5,1673515491003.8303,6022.324,11329.528
6,1673515475968.8425,6018.136,10877.792
7,1673515460934.1472,6019.444,11320.364
8,1673515445902.396,6017.028,10935.904
9,1673515430879.6184,6017.22,11366.096
10,1673515415849.5662,6021.82,10941.148
11,1673515400829.1433,6021.588,11343.844
12,1673515385802.1443,6019.276,10875.932
13,1673515370765.6807,6020.016,11330.34
14,1673515355732.4104,6020.104,11442.592
15,1673515340696.7231,6025.096,11286.952
