,time,avg,replicas,for pod
0,1672482980978.09,30.316,1,[30.316]
1,1672482996202.0425,30.284,1,[30.284]
2,1672483011441.0244,119.72399999999999,4,"[27.196, 29.7, 28.88, 33.948]"
3,1672483026722.0757,29.476,1,[29.476]
4,1672483041947.9626,31.756,1,[31.756]
5,1672483057222.6616,32.456,1,[32.456]
6,1672483072480.3123,143.464,5,"[29.724, 30.576, 29.884, 27.672, 25.608]"
7,1672483087768.8826,29.564,1,[29.564]
8,1672483103000.3884,31.144,1,[31.144]
9,1672483118224.5542,31.356,1,[31.356]
10,1672483133461.122,140.028,5,"[29.896, 28.276, 28.192, 28.604, 25.06]"
11,1672483148735.754,59.848,2,"[29.808, 30.04]"
12,1672483163967.0498,32.144,1,[32.144]
13,1672483179187.6396,30.884,1,[30.884]
14,1672483194444.6592,146.2,5,"[29.928, 30.892, 29.108, 28.208, 28.064]"
