,time,avg,replicas,for pod
0,1671707180934.527,68.456,2,"[30.216, 38.24]"
1,1671707196100.749,68.05199999999999,2,"[30.18, 37.872]"
2,1671707211270.6638,95.55600000000001,3,"[27.028, 30.02, 38.508]"
3,1671707226439.2244,124.99199999999999,4,"[28.612, 27.696, 30.332, 38.352]"
4,1671707241604.7947,132.05200000000002,4,"[28.376, 35.348, 30.224, 38.104]"
5,1671707256774.899,131.224,4,"[28.14, 35.348, 29.784, 37.952]"
6,1671707271945.2747,189.928,6,"[28.264, 36.616, 27.184, 29.372, 30.436, 38.056]"
7,1671707287109.9421,30.344,1,[30.344]
8,1671707302267.9287,31.816,1,[31.816]
9,1671707317434.265,32.968,1,[32.968]
10,1671707332599.2405,32.272,1,[32.272]
11,1671707347766.8875,83.648,3,"[25.268, 28.368, 30.012]"
12,1671707362923.4512,101.77199999999999,3,"[35.552, 35.68, 30.54]"
13,1671707378090.2893,102.17999999999999,3,"[36.552, 35.864, 29.764]"
14,1671707393259.2632,132.65200000000002,4,"[37.016, 35.74, 31.376, 28.52]"
