,time,avg,replicas,for pod
0,1672375568908.3015,68.311011,2,"[50.206481, 18.10453]"
1,1672375584079.3308,77.436362,2,"[47.383634, 30.052728]"
2,1672375599256.903,60.968196,2,"[33.474024, 27.494172]"
3,1672375614424.8027,115.24953699999999,3,"[49.027338, 50.248917, 15.973282]"
4,1672375629599.9792,98.93763999999999,3,"[34.053684, 45.943809, 18.940147]"
5,1672375644772.843,94.141245,3,"[44.393176, 39.491851, 10.256218]"
6,1672375659949.0261,119.35372699999999,4,"[40.168578, 19.593389, 46.603176, 12.988584]"
7,1672375675133.4214,126.09208900000002,4,"[29.858703, 22.69954, 48.908962, 24.624884]"
8,1672375690294.2922,42.013667,1,[42.013667]
9,1672375705465.5696,49.878113,1,[49.878113]
10,1672375720633.6023,77.697846,2,"[49.831716, 27.86613]"
11,1672375735797.4333,64.360317,2,"[49.883136, 14.477181]"
12,1672375750988.0515,70.819248,2,"[49.883136, 20.936112]"
13,1672375766163.6895,114.077765,3,"[49.850826, 48.217709, 16.00923]"
14,1672375781333.7683,100.060638,3,"[49.850826, 28.977057, 21.232755]"
