,time,avg,replicas,for pod
0,1672825050839.4055,75.28399999999999,2,"[36.92, 38.364]"
1,1672825066030.9668,38.208,1,[38.208]
2,1672825081228.4744,38.388,1,[38.388]
3,1672825096433.311,94.392,3,"[28.152, 28.032, 38.208]"
4,1672825111811.5327,119.624,4,"[25.368, 28.028, 28.312, 37.916]"
5,1672825127012.2844,38.976,1,[38.976]
6,1672825142206.7122,38.252,1,[38.252]
7,1672825157429.4993,121.572,4,"[27.836, 27.064, 28.156, 38.516]"
8,1672825172634.3833,237.37999999999997,8,"[27.78, 27.752, 28.392, 24.548, 35.38, 27.836, 28.2, 37.492]"
9,1672825187859.322,199.32,6,"[28.632, 32.9, 33.24, 35.804, 31.252, 37.492]"
10,1672825203060.0852,37.984,1,[37.984]
11,1672825218267.8386,39.22,1,[39.22]
12,1672825233494.6736,93.768,3,"[27.928, 27.732, 38.108]"
13,1672825248694.99,37.912,1,[37.912]
14,1672825263890.968,38.988,1,[38.988]
