,time,master,worker
0,1672479053610.1274,6160.988,11584.684
1,1672479038575.315,6161.232,11187.304
2,1672479023538.41,6159.072,11562.492
3,1672479008504.8542,6166.156,11326.924
4,1672478993470.706,6161.312,11465.644
5,1672478978435.8086,6159.616,11294.22
6,1672478963414.9631,6217.472,11592.792
7,1672478948378.067,6220.956,11400.788
8,1672478933352.5613,6017.0,11576.976
9,1672478918328.2717,6161.42,11450.44
10,1672478903299.412,6162.68,11583.372
11,1672478888272.28,6165.42,11437.904
12,1672478873250.888,6160.376,11532.596
13,1672478858216.554,6282.656,11584.684
14,1672478843183.1833,6139.024,11631.216
15,1672478828149.6704,6191.04,11529.168
