,time,master,worker
0,1671736463742.6348,173.421268,5746.16519
1,1671736448707.3232,222.50882,5472.937884
2,1671736433680.2258,198.524192,5830.970862
3,1671736418659.81,188.31593,5110.255489
4,1671736403624.5461,157.030565,5561.529954
5,1671736388589.4783,182.301263,6093.988498
6,1671736373558.9707,215.247574,5610.073328
7,1671736358524.9324,164.208665,6021.396095
8,1671736343490.0464,194.596968,5474.743744
9,1671736328467.822,271.435943,6013.975384
10,1671736313439.9673,379.307545,5676.815368
11,1671736298410.4116,230.515848,5891.426303
12,1671736283385.6252,210.705279,5578.763732
13,1671736268353.773,344.771098,5889.057576
14,1671736253325.8413,173.553877,5587.201979
15,1671736238298.5542,170.065835,5864.694641
