,time,observed
0,1672366685301.9006,10
1,1672366700481.6687,1
2,1672366715657.397,1
3,1672366730833.0532,2
4,1672366746015.2583,2
5,1672366761190.3677,2
6,1672366776361.1426,3
7,1672366791529.5193,3
8,1672366806705.4873,3
9,1672366821888.453,3
10,1672366837057.5251,5
11,1672366852239.7568,5
12,1672366867420.0754,1
13,1672366882600.55,1
14,1672366897779.7659,2
