,time,observed
0,1671468433145.8855,1
1,1671468448295.4585,1
2,1671468463458.552,1
3,1671468478607.0022,1
4,1671468493753.1963,1
5,1671468508894.5059,1
6,1671468524042.8145,1
7,1671468539188.9968,1
8,1671468554341.7449,1
9,1671468569482.0854,1
10,1671468584635.958,1
11,1671468599792.179,3
12,1671468614941.5327,3
13,1671468630098.5837,3
14,1671468645250.449,1
15,1671468660403.282,1
16,1671468675557.139,2
17,1671468690706.6582,2
18,1671468705853.8333,2
19,1671468720999.0454,3
20,1671468736243.5273,3
21,1671468751418.8562,5
22,1671468766574.745,1
23,1671468781747.9995,1
24,1671468796900.5918,2
25,1671468812072.769,2
26,1671468827226.2244,3
27,1671468842379.0422,3
28,1671468857535.5098,3
29,1671468872687.3635,5
30,1671468887839.476,5
31,1671468902986.871,1
32,1671468918131.1082,1
33,1671468933277.3596,2
34,1671468948425.817,2
35,1671468963580.8984,2
36,1671468978735.0447,3
37,1671468993890.6636,3
38,1671469009049.8381,3
39,1671469024203.4583,5
40,1671469039360.0396,5
41,1671469054510.631,1
42,1671469069651.7727,1
43,1671469084792.9915,2
44,1671469099950.495,2
45,1671469115088.651,2
46,1671469130238.7249,3
47,1671469145395.9905,4
48,1671469160537.8623,4
49,1671469175695.5479,4
50,1671469190850.0842,5
51,1671469206006.5374,5
52,1671469221161.9832,1
53,1671469236318.516,1
54,1671469251465.4897,2
55,1671469266608.7368,2
56,1671469281765.422,3
57,1671469296923.8303,3
58,1671469312084.9194,3
59,1671469327240.1528,3
60,1671469342393.7988,3
61,1671469357548.42,3
62,1671469372701.3203,3
63,1671469387861.6292,3
64,1671469403005.7495,3
65,1671469418158.1487,3
66,1671469433310.0308,3
67,1671469448464.0474,3
68,1671469463606.2625,3
69,1671469478763.4492,3
70,1671469493919.366,3
71,1671469509073.7349,3
72,1671469524247.804,3
73,1671469539401.2795,3
74,1671469554551.6904,3
75,1671469569714.2542,3
76,1671469584855.4917,3
77,1671469600023.1226,2
78,1671469615185.9822,1
79,1671469630336.6487,1
