,time,avg,replicas,for pod
0,1672766630965.8755,67.267892,2,"[49.8442, 17.423692]"
1,1672766646124.75,68.453925,2,"[50.064868, 18.389057]"
2,1672766661283.1294,77.373954,2,"[49.732809, 27.641145]"
3,1672766676433.4316,64.086517,2,"[50.041623, 14.044894]"
4,1672766691594.367,72.736748,2,"[49.603372, 23.133376]"
5,1672766706751.8333,77.07228500000001,2,"[50.121993, 26.950292]"
6,1672766721915.7551,73.338784,2,"[49.387428, 23.951356]"
7,1672766737075.442,67.559744,2,"[50.062046, 17.497698]"
8,1672766752232.4897,64.338492,2,"[49.757739, 14.580753]"
9,1672766767391.7039,70.587519,2,"[49.930259, 20.65726]"
10,1672766782586.6077,66.406719,2,"[50.245489, 16.16123]"
11,1672766797769.8792,64.258957,2,"[49.295792, 14.963165]"
12,1672766812916.7783,74.47301999999999,2,"[50.115773, 24.357247]"
13,1672766828078.4946,79.372119,2,"[49.96714, 29.404979]"
14,1672766843240.6196,73.84021899999999,2,"[50.366521, 23.473698]"
