,time,avg,replicas,for pod
0,1672596785734.06,52.141328,2,"[3.514673, 48.626655]"
1,1672596800891.3403,21.077307,1,[21.077307]
2,1672596816096.0198,50.136024,1,[50.136024]
3,1672596831266.149,49.758503,1,[49.758503]
4,1672596846434.71,81.290995,2,"[32.74704, 48.543955]"
5,1672596861602.0288,122.438564,3,"[47.928532, 24.755394, 49.754638]"
6,1672596876763.1423,99.806073,3,"[43.53159, 20.861037, 35.413446]"
7,1672596891918.6604,117.07801999999998,4,"[49.876369, 14.640813, 30.382605, 22.178233]"
8,1672596907085.5083,24.296595,1,[24.296595]
9,1672596922255.4194,49.561741,1,[49.561741]
10,1672596937431.5676,48.959198,1,[48.959198]
11,1672596952600.1587,124.22892999999999,3,"[48.068782, 28.584974, 47.575174]"
12,1672596967766.6033,109.855037,3,"[49.535461, 12.744402, 47.575174]"
13,1672596982936.0679,100.236952,3,"[39.147883, 18.773701, 42.315368]"
14,1672596998101.85,113.090578,3,"[49.675721, 26.378195, 37.036662]"
