,time,avg,replicas,for pod
0,1672824570512.0613,47.68044,1,[47.68044]
1,1672824585702.8398,50.116645,1,[50.116645]
2,1672824600906.2197,125.987358,3,"[36.826166, 41.608498, 47.552694]"
3,1672824616151.2454,95.473633,3,"[17.718152, 30.808177, 46.947304]"
4,1672824631348.0886,49.077351,1,[49.077351]
5,1672824646575.7285,50.104333,1,[50.104333]
6,1672824661781.0505,164.230235,4,"[41.298128, 42.116824, 47.963316, 32.851967]"
7,1672824676984.0813,19.988117,1,[19.988117]
8,1672824692186.3647,49.169163,1,[49.169163]
9,1672824707396.5576,50.237571,1,[50.237571]
10,1672824722593.4421,128.294572,3,"[42.33292, 48.166338, 37.795314]"
11,1672824737822.0835,165.690832,5,"[11.216562, 48.166338, 15.577905, 48.84192, 41.888107]"
12,1672824753019.2058,170.52039,7,"[16.475412, 17.711661, 23.424139, 31.005935, 16.940457, 21.462096, 43.50069]"
13,1672824768217.3528,86.17951500000001,3,"[15.572409, 36.625919, 33.981187]"
14,1672824783404.5564,49.099116,1,[49.099116]
