,time,master,worker
0,1672403645809.4075,248.886006,5835.561906
1,1672403630773.9692,221.504445,5613.259692
2,1672403615738.998,314.059784,5723.36669
3,1672403600715.6975,170.934676,5773.104763
4,1672403585680.543,231.936979,5869.797953
5,1672403570647.2366,193.609533,5992.994256
6,1672403555615.568,220.242305,6628.45268
7,1672403540590.6826,123.022207,5444.936525
8,1672403525557.3022,196.331665,6522.056583
9,1672403510522.302,172.756088,5452.774592
10,1672403495495.663,189.808814,6516.308354
11,1672403480460.7026,149.816032,5317.410044
12,1672403465425.8972,252.601289,6253.326498
13,1672403450399.816,209.725244,5396.726846
14,1672403435377.668,540.166262,6392.50435
15,1672403420344.1753,208.642748,5427.717713
