,time,avg,replicas,for pod
0,1672225025488.3218,36.065983,1,[36.065983]
1,1672225040661.6453,76.531398,2,"[50.455864, 26.075534]"
2,1672225055836.1794,50.556592,2,"[33.235075, 17.321517]"
3,1672225071005.1658,44.123852,1,[44.123852]
4,1672225086182.537,48.091886,1,[48.091886]
5,1672225101356.6516,50.313209,1,[50.313209]
6,1672225116517.7188,50.299359,1,[50.299359]
7,1672225131715.6663,50.122675,1,[50.122675]
8,1672225146881.3257,49.878748,1,[49.878748]
9,1672225162052.6353,50.643475,1,[50.643475]
10,1672225177209.8098,49.750881,1,[49.750881]
11,1672225192383.8442,49.510578,1,[49.510578]
12,1672225207546.487,50.203628,1,[50.203628]
13,1672225222713.9346,49.57208,1,[49.57208]
14,1672225237870.695,49.677735,1,[49.677735]
