,time,avg,replicas,for pod
0,1672488940325.5654,81.210203,2,"[31.720289, 49.489914]"
1,1672488955489.304,72.072195,2,"[22.582281, 49.489914]"
2,1672488970650.5918,62.053687,2,"[11.950494, 50.103193]"
3,1672488985813.0505,64.530158,2,"[14.855109, 49.675049]"
4,1672489000980.0337,105.672759,3,"[14.21933, 41.308809, 50.14462]"
5,1672489016140.5227,115.66667,3,"[21.061734, 44.912241, 49.692695]"
6,1672489031291.5098,108.523168,3,"[22.447865, 42.721533, 43.35377]"
7,1672489046453.0044,13.335425,1,[13.335425]
8,1672489061623.6626,46.295876,1,[46.295876]
9,1672489076784.4292,50.075462,1,[50.075462]
10,1672489091944.0378,50.049043,1,[50.049043]
11,1672489107110.0352,80.807362,2,"[48.959452, 31.84791]"
12,1672489122270.5093,73.653369,2,"[50.286984, 23.366385]"
13,1672489137453.3694,67.604526,2,"[49.757904, 17.846622]"
14,1672489152615.8738,70.94328300000001,2,"[49.757904, 21.185379]"
