,time,avg,replicas,for pod
0,1672787043908.1035,205.906654,7,"[26.355643, 47.636335, 46.915321, 25.643909, 18.72527, 17.614932, 23.015244]"
1,1672787059085.6584,73.38852800000001,3,"[16.272226, 9.469781, 47.646521]"
2,1672787074251.4065,49.093552,1,[49.093552]
3,1672787089424.3645,93.450764,2,"[49.002872, 44.447892]"
4,1672787104615.3145,197.078148,5,"[23.35858, 48.785371, 29.778523, 47.243552, 47.912122]"
5,1672787119826.606,13.494446,1,[13.494446]
6,1672787134990.6707,48.839261,1,[48.839261]
7,1672787150153.1587,91.55290099999999,2,"[46.664244, 44.888657]"
8,1672787165327.432,193.69989800000002,5,"[24.212475, 47.48515, 48.0899, 28.366652, 45.545721]"
9,1672787180504.4634,116.93953400000001,5,"[6.883897, 44.594222, 35.333335, 2.977535, 27.150545]"
10,1672787195668.6726,60.756017,7,"[0.40966, 5.989228, 3.111889, 24.587284, 0.474073, 0.731771, 25.452112]"
11,1672787210846.716,0.794813,2,"[0.336739, 0.458074]"
12,1672787226012.289,1.102562,1,[1.102562]
13,1672787241189.8074,6.535672,1,[6.535672]
14,1672787256374.4055,5.528469,1,[5.528469]
