,time,master,worker
0,1672232213829.6865,174.242811,5929.802829
1,1672232198798.3284,164.055434,5639.693106
2,1672232183765.6077,179.548272,6010.375257
3,1672232168732.0227,163.82686,5918.57257
4,1672232153697.8015,184.480831,5429.570356
5,1672232138673.8098,175.283804,5970.403707
6,1672232123637.5632,169.668361,5511.498846
7,1672232108607.9197,160.016931,5723.311301
8,1672232093573.787,202.036049,5383.1829
9,1672232078538.6047,212.323058,5527.962087
10,1672232063513.834,227.095467,5705.492091
11,1672232048480.0774,180.628427,5963.061987
12,1672232033457.2107,163.287741,5477.383024
13,1672232018424.8313,468.349251,5946.172709
14,1672232003390.319,200.553709,5341.506813
15,1672231988357.2375,167.5206,6189.220497
