,time,avg,replicas,for pod
0,1672782721283.3342,63.242033,2,"[47.506502, 15.735531]"
1,1672782736459.6377,68.064372,2,"[49.861471, 18.202901]"
2,1672782751628.7476,109.492554,4,"[49.578107, 22.183081, 12.254483, 25.476883]"
3,1672782766811.93,159.414224,6,"[47.975894, 12.291038, 48.629723, 9.488853, 31.210069, 9.818647]"
4,1672782781997.0247,268.273635,11,"[46.377982, 20.397442, 32.86475, 12.131612, 17.874606, 41.759746, 12.789237, 15.716798, 20.338605, 12.675277, 35.34758]"
5,1672782797183.209,154.679674,8,"[42.796567, 14.877483, 30.309558, 5.521859, 23.623464, 6.027278, 12.136316, 19.387149]"
6,1672782812357.3923,0.0,0,[]
7,1672782827532.8904,50.579141,1,[50.579141]
8,1672782842702.1426,50.78966,1,[50.78966]
9,1672782857897.3594,76.938762,3,"[28.950204, 35.335317, 12.653241]"
10,1672782873060.6785,126.420848,5,"[40.955681, 2.136381, 1.778664, 46.58844, 34.961682]"
11,1672782888240.1985,57.11245899999999,7,"[2.247322, 45.046077, 7.011792, 1.080068, 0.379183, 0.633646, 0.714371]"
12,1672782903414.102,4.0827729999999995,2,"[0.923283, 3.15949]"
13,1672782918592.53,4.629996,1,[4.629996]
14,1672782933762.2852,4.844164,1,[4.844164]
