,time,master,worker
0,1672016903517.2249,288.36183,5194.39667
1,1672016888483.6497,417.128867,5935.598845
2,1672016873450.8523,217.55937,5451.10995
3,1672016858430.3755,335.06991,6027.090505
4,1672016843399.1929,280.964556,5403.565832
5,1672016828369.625,390.729925,6007.174783
6,1672016813334.3545,259.669543,5561.187796
7,1672016798301.6306,273.468719,5972.329666
8,1672016783266.13,273.097083,5371.656106
9,1672016768231.7722,373.581462,6410.221951
10,1672016753197.8208,478.588047,5576.658689
11,1672016738165.3848,294.506296,6482.437857
12,1672016723131.3447,254.213552,5806.311602
13,1672016708096.7375,352.406106,6047.53867
14,1672016693062.076,182.981682,5345.084891
15,1672016678027.236,156.151406,6026.322924
