,time,avg,replicas,for pod
0,1672570608993.0706,47.437911,1,[47.437911]
1,1672570624160.647,49.622918,1,[49.622918]
2,1672570639322.3687,146.027306,3,"[47.896259, 50.068219, 48.062828]"
3,1672570654484.6182,104.39731599999999,3,"[31.69261, 24.359047, 48.345659]"
4,1672570669659.095,86.694935,3,"[48.146934, 14.663275, 23.884726]"
5,1672570684848.414,130.912564,5,"[42.309312, 14.985253, 26.04388, 23.916766, 23.657353]"
6,1672570700044.1145,15.144003,1,[15.144003]
7,1672570715217.5706,47.528146,1,[47.528146]
8,1672570730393.1714,50.434862,1,[50.434862]
9,1672570745565.055,145.95119699999998,3,"[49.987567, 48.263224, 47.700406]"
10,1672570760764.0793,108.63813400000001,3,"[16.96042, 43.977308, 47.700406]"
11,1672570775939.8938,91.01704000000001,3,"[5.881025, 43.977308, 41.158707]"
12,1672570791110.1172,12.013181,3,"[1.135574, 8.340081, 2.537526]"
13,1672570806297.573,52.932790000000004,5,"[40.680304, 0.393649, 0.675392, 8.025157, 3.158288]"
14,1672570821469.5151,4.714762,1,[4.714762]
