,time,avg,replicas,for pod
0,1671787869491.6543,62.516816000000006,2,"[49.527689, 12.989127]"
1,1671787884662.5076,73.728525,2,"[50.387666, 23.340859]"
2,1671787899826.8489,68.01885,2,"[50.008255, 18.010595]"
3,1671787914997.1729,116.70842400000001,3,"[46.849985, 49.780689, 20.07775]"
4,1671787930171.1523,104.044994,3,"[49.196769, 38.525513, 16.322712]"
5,1671787945334.789,148.427466,4,"[48.885608, 46.877968, 35.494056, 17.169834]"
6,1671787960503.2122,102.08876199999999,4,"[23.233764, 49.740032, 11.083739, 18.031227]"
7,1671787975672.0203,22.589659,1,[22.589659]
8,1671787990865.0767,47.16648,1,[47.16648]
9,1671788006022.558,49.968255,1,[49.968255]
10,1671788021182.4387,86.18380400000001,2,"[47.962344, 38.22146]"
11,1671788036349.149,68.037759,2,"[49.192547, 18.845212]"
12,1671788051518.2056,72.303426,2,"[49.658712, 22.644714]"
13,1671788066678.698,119.27049600000001,3,"[49.457338, 48.250013, 21.563145]"
14,1671788081841.4324,106.839249,3,"[32.536454, 32.998588, 41.304207]"
