,time,avg,replicas,for pod
0,1672739013342.958,31.132,1,[31.132]
1,1672739028515.5212,117.204,4,"[27.752, 31.46, 27.984, 30.008]"
2,1672739043686.8318,184.42,6,"[31.636, 28.728, 28.36, 36.632, 28.392, 30.672]"
3,1672739058850.169,29.772,1,[29.772]
4,1672739074014.3953,31.628,1,[31.628]
5,1672739089182.4077,32.524,1,[32.524]
6,1672739104348.1091,32.22,1,[32.22]
7,1672739119517.975,64.29599999999999,2,"[33.668, 30.628]"
8,1672739134686.5828,66.132,2,"[35.18, 30.952]"
9,1672739149857.3315,67.476,2,"[36.904, 30.572]"
10,1672739165026.4531,67.88,2,"[37.328, 30.552]"
11,1672739180185.6746,67.868,2,"[37.436, 30.432]"
12,1672739195352.1008,68.476,2,"[38.212, 30.264]"
13,1672739210519.1326,69.268,2,"[38.116, 31.152]"
14,1672739225687.4614,68.476,2,"[37.936, 30.54]"
