,time,master,worker
0,1671707886534.767,163.491967,5455.096136
1,1671707871510.1914,176.965848,5605.792558
2,1671707856474.967,143.306262,5682.49183
3,1671707841439.3547,169.355328,5684.523673
4,1671707826416.582,133.77844,5588.054616
5,1671707811390.035,206.847812,6053.426193
6,1671707796368.7234,147.411808,5497.769096
7,1671707781348.5173,170.108481,5609.529555
8,1671707766314.0278,129.726996,5713.918779
9,1671707751279.659,190.900477,5560.688904
10,1671707736259.053,151.882527,5769.58297
11,1671707721219.1404,166.146811,5360.7774
12,1671707706183.2197,150.104968,5821.5951
13,1671707691148.4294,304.731854,5153.601912
14,1671707676113.709,131.090908,5999.540898
15,1671707661078.0457,159.767702,5350.436326
