,time,master,worker
0,1672775021721.7769,6186.428,11225.572
1,1672775006686.0034,6192.184,10646.924
2,1672774991652.3992,6190.848,11229.7
3,1672774976619.6199,6191.872,10717.444
4,1672774961585.675,6189.556,11231.64
5,1672774946557.2605,6191.352,10707.34
6,1672774931521.7305,6189.612,11120.652
7,1672774916486.652,6187.976,10801.82
8,1672774901462.7957,6185.968,11113.968
9,1672774886429.318,6188.468,10830.98
10,1672774871394.5198,6185.88,11145.324
11,1672774856360.4976,6188.604,10621.008
12,1672774841326.7383,6187.448,11107.304
13,1672774826291.8894,6189.176,10597.556
14,1672774811257.7341,6286.152,11116.9
15,1672774796222.8115,6193.168,11315.904
