,time,master,worker
0,1672824075365.7603,6357.644,11437.452
1,1672824060337.68,6345.648,10734.66
2,1672824045297.5786,6325.104,11452.744
3,1672824030276.1218,6323.384,10780.14
4,1672824015241.4304,6324.18,11410.316
5,1672824000206.6943,6324.504,10754.572
6,1672823985174.6897,6326.168,11371.88
7,1672823970139.0815,6317.948,11498.728
8,1672823955109.6064,6313.628,11375.688
9,1672823940081.4343,6310.396,10687.836
10,1672823925045.7095,6320.112,11187.972
11,1672823910010.3164,6325.336,11425.472
12,1672823894975.6658,6324.756,11022.144
13,1672823879947.3086,6384.708,11545.452
14,1672823864911.9287,6379.284,11162.024
15,1672823849886.6658,6287.036,11499.512
