,time,master,worker
0,1671897121876.9856,6180.464,11448.572
1,1671897106850.8184,6179.78,11557.252
2,1671897091815.0198,6178.244,11450.836
3,1671897076779.2266,6175.884,11551.868
4,1671897061744.496,6179.148,11437.72
5,1671897046709.7483,6179.624,11562.484
6,1671897031677.214,6177.148,11427.836
7,1671897016642.7097,6177.544,11559.256
8,1671897001618.5503,6177.016,11433.636
9,1671896986583.9456,6176.076,10771.968
10,1671896971555.5566,6174.684,11464.292
11,1671896956525.5986,6173.468,10757.3
12,1671896941492.5508,6172.288,11464.616
13,1671896926465.4258,6172.532,10826.624
14,1671896911437.4949,6170.832,11502.716
15,1671896896403.5002,6108.084,10912.236
