,time,observed
0,1672821688690.4026,2
1,1672821703845.4358,2
2,1672821719012.4446,6
3,1672821734373.1067,6
4,1672821749771.4128,1
5,1672821764937.7883,5
6,1672821780126.4275,5
7,1672821795319.4097,1
8,1672821810480.6467,1
9,1672821825650.9248,4
10,1672821840855.8223,5
11,1672821856079.454,1
12,1672821871252.65,1
13,1672821886423.522,4
14,1672821901594.9907,5
