,time,master,worker
0,1672592688237.2393,457.25096,6000.428641
1,1672592673201.895,908.100749,5312.784443
2,1672592658170.6194,516.71592,5904.733359
3,1672592643134.409,407.758041,5942.732386
4,1672592628100.5283,460.934553,6450.061383
5,1672592613066.2527,877.649838,5398.94712
6,1672592598030.0293,550.632831,6785.378035
7,1672592582998.1716,372.818548,5317.430016
8,1672592567965.658,408.001648,6037.783619
9,1672592552934.0945,807.495966,4782.318575
10,1672592537899.0222,496.027648,6312.314905
11,1672592522872.5469,380.794621,5325.212708
12,1672592507837.7441,280.189483,5863.945147
13,1672592492808.9866,228.160403,5293.511919
14,1672592477775.8977,284.783714,6023.851171
15,1672592462738.8733,159.782364,5277.594654
