,time,master,worker
0,1672600372884.3992,217.051275,5455.073153
1,1672600357849.3364,211.29705,6002.630134
2,1672600342816.3184,177.458262,5712.144563
3,1672600327780.7485,250.144825,5917.71714
4,1672600312759.139,235.129663,5514.264417
5,1672600297734.5608,176.261307,6009.152542
6,1672600282712.6606,202.213981,5551.971045
7,1672600267691.5002,212.214814,5998.092692
8,1672600252665.0374,215.037785,5542.68133
9,1672600237624.7517,185.019108,6160.588782
10,1672600222590.92,217.745208,5408.778059
11,1672600207556.635,194.338736,6265.359707
12,1672600192529.4053,210.0887,5681.481169
13,1672600177494.0469,181.407909,5865.402264
14,1672600162459.6963,299.644231,5448.596673
15,1672600147424.3809,185.744074,6443.6077
